index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,0.32375,241551.12,1676.08,5.542067183,16.18895349,2
2,-0.27625,252901.02,1727.29,5.943262765,16.6235741,2
3,0.1075,262676.7,1825.25,6.416518072,17.12543373,1
4,0.355,276643.96,2066.65,6.847841561,17.58339839,1
5,-0.63125,345964.18,2766.66,5.925035587,16.55592527,2
6,-1.040625,357035.3,2843.61,6.160416667,16.84486111,0
7,-1.38125,369594.13,2918.5,6.503918919,17.26800676,0
8,0.771875,386572.3,3127.99,6.891404221,17.70369318,2
9,-0.562625,131312.6,992.54,6.109206731,17.07591346,1
10,1.043875,146256.93,1227.44,7.102052402,18.01838428,2
11,1.129875,157491.95,1361.64,7.673668033,18.54092213,1
12,-1.707375,168840.36,1398.66,8.119285714,19.08972973,0
13,0.5,243203.55,2046.21,4.978840206,15.79166237,2
14,0.156,255157.1,2164.33,5.444029666,16.27543881,2
15,0.316,269341.33,2198.82,5.830510083,16.69194543,2
16,-0.02,282434.47,2270.71,6.264220705,17.14828214,0
17,-0.905058824,78064.65,620.61,3.555392857,14.09046429,1
18,-1.158882353,89702.5,683.51,4.762806452,15.45751613,0
19,-0.839588235,102155.66,712.25,6.067836257,16.84994152,1
20,0.673,115289.61,836.82,7.315078947,18.14039474,1
21,0.684705882,297866.57,2811.76,5.510158103,16.04932806,2
22,0.766470588,310590.38,2968.34,5.923658071,16.46616046,1
23,0.004705882,323710.46,3057.78,6.306201479,16.86260628,1
24,-0.422941176,333422.21,3177.75,6.632578616,17.15107817,0
25,0.647272727,234032.19,2480.13,5.634646597,16.6852356,2
26,0.066363636,247409.88,2548.6,5.983312422,17.1282936,1
27,-0.727272727,259801.52,2627.47,6.807773019,17.95650964,0
28,0.073636364,273619.11,2756.71,6.818754325,18.14455594,0
29,0.13,346264.32,3416.84,5.371927498,16.49879752,2
30,0.149090909,358088.32,3598.84,5.649347639,16.77893562,1
31,0.638181818,371244.15,3780.14,5.976935887,17.08483764,1
32,0.19,384907.74,3832.34,6.210857605,17.36054207,1
33,-0.112454545,127496.57,1237.04,3.987419355,15.27359801,2
34,0.368636364,140010.34,1414.61,4.872036613,16.1710984,2
35,0.038272727,156602.97,1542.63,5.71302714,17.02663883,1
36,0.149818182,165651.16,1614.6,6.197003968,17.5355754,1
37,0.395666667,240727.78,2155.61,3.807428198,14.94236292,2
38,-0.383,250673.04,2332.16,4.242540881,15.3531195,1
39,0.107,264792.31,2452.18,4.71713253,15.84166265,1
40,-0.506,279780.39,2534.37,5.179332566,16.39226697,0
41,0.092666667,352217.36,3199.81,4.384876325,15.6335689,2
42,0.750666667,372121.27,3289.44,4.840364098,16.15087214,2
43,-0.644666667,384510.74,3379.62,5.242376645,16.56509046,1
44,0.036,398400.57,3469.17,5.5192749,16.91188845,0
45,0.354,120654.92,1108.86,6.444035533,17.81994924,2
46,-0.841333333,133530.36,1212.91,7.061194379,18.44625293,1
47,0.954666667,146726.56,1378.02,7.778311688,19.1375974,2
48,0.224666667,161171.53,1423.56,8.210921844,19.630501,1
49,-1.390666667,233501.8,2194.04,5.513855263,16.81431579,1
50,0.002,247205.72,2351.24,6.029285714,17.32293233,1
51,-0.152,258669.97,2432.13,6.430434258,17.73143546,1
52,0.187333333,271435.51,2521.06,6.890393519,18.18484954,1
53,-0.609,244241.54,2239.92,5.165557012,16.24311927,1
54,0.438333333,255616.65,2365.86,5.618764187,16.68960908,1
55,-0.0405,269016.87,2574.02,6.122321644,17.21613059,1
56,0.109833333,285825.46,2634.73,6.606260069,17.79072497,0
57,-0.502,361996.1,3569.09,5.291709251,16.34720705,1
58,-0.697,372266.78,3715.69,5.548177128,16.59960447,1
59,-0.553,383493.75,3817.77,5.859210747,16.93473552,0
60,-0.142,400987.9,3982.19,6.248983051,17.34995157,0
61,1.123384615,79771.91,996.35,3.253768116,14.35050725,2
62,0.678384615,93811.12,1087.45,4.524516129,15.80587097,1
63,0.403461538,106233.46,1211.66,5.868542274,17.28763848,1
64,-0.286923077,120950.35,1272.58,6.756973684,18.39823684,0
65,-0.122307692,198074.42,2043.17,4.370772798,15.62190108,2
66,-0.206153846,208057.01,2160.44,4.766359584,16.0279049,1
67,-0.238461538,220025.4,2382.58,5.382951977,16.57200565,1
68,0.373076923,236439.38,2431.7,5.891001335,17.13734312,0
69,-0.561153846,315050.09,3307.53,4.124489594,15.37908821,1
70,-0.112692308,327376.19,3477.61,4.505417066,15.75848514,1
71,-0.455769231,339554.69,3603.04,4.796666667,16.04993482,0
72,-0.363076923,354549.19,3726.33,5.185969479,16.44598743,0
73,0.768076923,119766.11,1173.67,4.267780749,15.16181818,2
74,0.705,131581.31,1480.1,5.274889976,16.0697066,2
75,0.576538462,142409.32,1643.08,6.006727689,16.77338673,1
76,0.381538462,158054.33,1723.07,6.775786164,17.64121593,0
77,-1.312307692,271314.29,2850.26,6.592339667,17.64296912,1
78,-0.645384615,354227.26,3958.13,5.97701677,17.01488085,1
79,-0.103846154,366093.1,4164.68,6.265661512,17.30103093,1
80,-0.056923077,382323.67,4290.11,6.542079536,17.58241922,0
81,1.425944056,125698.49,1697.43,5.4538,16.425175,2
82,0.785664336,136413.72,1886.48,6.284060325,17.20809745,2
83,0.297622378,147523.87,1973.19,6.531872411,17.57234466,1
84,0.412307692,161391.74,2137.18,7.770301205,18.68375502,1
